Date,Open,High,Low,Close
12-Sep-11,10995.93,10995.93,10728.1,10756.24
13-Sep-11,10810.68,10964.15,10616.49,10708.39
14-Sep-11,10714.8,10900.17,10620.64,10864.69
15-Sep-11,10946.54,11111.55,10767.97,11062.05
16-Sep-11,11159.58,11222.46,10983.05,11127.53
19-Sep-11,11073.85,11073.85,10955.03,10997.69
20-Sep-11,11001.06,11289.39,10988.03,11252.14
21-Sep-11,11267.29,11418.68,11254.76,11360.44
22-Sep-11,11183.49,11183.49,10877.71,10907.93
23-Sep-11,10810.45,10935.58,10633.04,10760.73
26-Sep-11,10784.33,10829.94,10503.8,10738.86
27-Sep-11,10893.72,11062.6,10893.72,11032.95
28-Sep-11,11081.88,11081.88,10834.97,10895.26
29-Sep-11,10862.51,11085.58,10785.6,11054.63
30-Sep-11,11006.07,11039.97,10807.53,10850.73
03-Oct-11,10739.2,10739.2,10498.77,10544.72
04-Oct-11,10494.11,10590.11,10127.04,10219.03
05-Oct-11,10252.25,10293.49,9889.76,9961.54
07-Oct-11,10260.67,10443.56,10260.67,10347.84
10-Oct-11,10375.53,10519.17,10285.39,10495.37
11-Oct-11,10578.9,10714.2,10477.39,10509.82
12-Oct-11,10559.04,10899.88,10529.41,10864.56
13-Oct-11,10941.24,11089.55,10931.03,10977.59
14-Oct-11,10942.31,11097.95,10918.66,11064.51
17-Oct-11,11114.07,11212.4,11075.11,11130.93
18-Oct-11,11036.32,11036.32,10873.04,10970.2
19-Oct-11,11054.76,11282.86,11054.76,11265.66
20-Oct-11,11159.81,11187.78,11022.77,11169.27
21-Oct-11,11178.52,11238.28,11073.53,11094.31
24-Oct-11,11220.32,11351.33,11009.85,11052.42
25-Oct-11,11092.3,11237.01,10707.05,10919.4
26-Oct-11,11031.54,11032.34,10938.77,10963.63
28-Oct-11,11247.89,11394.55,11247.89,11372.49
31-Oct-11,11382.74,11557.53,11276.83,11454.03
01-Nov-11,11372.85,11457.1,11234.51,11277.95
02-Nov-11,11180.84,11349.36,11175,11238.24
03-Nov-11,11205.69,11276.55,11092.9,11232.57
04-Nov-11,11345.63,11392.5,11273.59,11302.24
08-Nov-11,11330.8,11367.12,11192.94,11317.93
09-Nov-11,11363.79,11363.79,10992.66,11020.96
11-Nov-11,10938.25,10991.68,10660.77,10686.97
14-Nov-11,10813.48,10856.21,10626.71,10651.42
15-Nov-11,10633.21,10688.09,10412.19,10436.22
16-Nov-11,10421,10495.14,10297.51,10402.63
17-Nov-11,10390.57,10477.46,10218.62,10250.3
18-Nov-11,10208.96,10208.96,10011.59,10161.29
21-Nov-11,10137.94,10137.94,9791.42,9831.83
22-Nov-11,9896.35,9990.48,9813.39,9886.23
23-Nov-11,9828.57,9828.57,9482.09,9649.3
24-Nov-11,9663.45,9772.27,9512.01,9742.5
25-Nov-11,9702.39,9843.96,9615.98,9768.7
28-Nov-11,9905.69,10124.96,9878.51,10104.09
29-Nov-11,10145.14,10166.51,9882.55,9911.1
30-Nov-11,9824.19,9998.43,9774.42,9850.43
01-Dec-11,10160.86,10375.67,10136.98,10217.2
02-Dec-11,10223.16,10581.19,10181.69,10550.45
05-Dec-11,10532.14,10597.13,10434.03,10552.04
07-Dec-11,10593.86,10676.19,10506.06,10552.51
08-Dec-11,10526.54,10539.11,10224.32,10266.84
09-Dec-11,10134.05,10292,10023.39,10157.05
12-Dec-11,10257.57,10285.85,9816.66,9854.61
13-Dec-11,9786.47,9946.82,9678.19,9863.6
14-Dec-11,9862.32,10021.5,9776.51,9824.49
15-Dec-11,9753.26,9799.86,9654.06,9728.21
16-Dec-11,9752.24,9910.48,9376.16,9420.85
19-Dec-11,9383.98,9383.98,9005.67,9130.56
20-Dec-11,9151.48,9180.01,8947.37,8975.01
21-Dec-11,9197.92,9464.75,9134.72,9416.41
22-Dec-11,9342.98,9661.92,9270.44,9629.89
23-Dec-11,9638.49,9707.48,9481.13,9529.86
26-Dec-11,9572.52,9669.87,9523.58,9610.03
27-Dec-11,9610.38,9610.38,9443.47,9492.2
28-Dec-11,9452.27,9452.27,9243.72,9303.93
29-Dec-11,9257.43,9335.27,9175.7,9220.92
30-Dec-11,9252.82,9324.99,9105.84,9153.39
02-Jan-12,9212.56,9221.6,9058.86,9178.05
03-Jan-12,9263.49,9598.76,9263.49,9576.99
04-Jan-12,9615.53,9698.66,9517.19,9643.49
05-Jan-12,9657.28,9767.31,9625.46,9688.31
06-Jan-12,9626.92,9841.2,9525,9736.04
07-Jan-12,9749.87,9749.87,9687.78,9704.22
09-Jan-12,9677.12,9767.43,9561.96,9719.29
10-Jan-12,9788.74,10045.13,9788.74,10027.62
11-Jan-12,10065,10165.2,10027.45,10140.36
12-Jan-12,10150.74,10343.93,10132.63,10249.57
13-Jan-12,10296.95,10413.08,10234.64,10300.49
16-Jan-12,10240.43,10300.57,10125.3,10269.32
17-Jan-12,10327.77,10462.42,10327.77,10395.82
18-Jan-12,10372.3,10394.8,10245.27,10350.35
19-Jan-12,10433.18,10557.05,10433.18,10542.14
20-Jan-12,10641.55,10960.45,10625.7,10912.15
23-Jan-12,10918.93,11090.08,10909.09,10935.12
24-Jan-12,10953.14,11351.92,10857.36,11286.43
25-Jan-12,11323.4,11380.34,11222.76,11323.72
27-Jan-12,11417.2,11417.2,11165.63,11282.33
30-Jan-12,11197.9,11197.9,10939.17,10969.09
