Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-September-2012,692.00,711.00,692.00,709.30,704.866028674687004117,143053,5397,100833200.00,47002,32.86,19.00,17.30
13-September-2012,688.90,692.70,680.15,682.05,687.316698558053714207,58532,2206,40230021.00,16427,28.06,12.55,-6.85
12-September-2012,689.00,692.00,675.00,685.00,684.699156391953277092,46230,1914,31653642.00,11783,25.49,17.00,-4.00
11-September-2012,686.00,689.90,680.00,685.35,685.430057418656902721,36051,1920,24710439.00,7613,21.12,9.90,-0.65
10-September-2012,687.00,695.00,683.00,686.65,688.663400014984640743,66735,2544,45957952.00,27663,41.45,12.00,-0.35
8-September-2012,688.00,688.00,681.30,685.20,684.558883923179127913,8279,346,5667463.00,4974,60.08,6.70,-2.80
7-September-2012,687.00,687.00,671.05,681.30,678.063919548108057006,84622,3212,57379125.00,21304,25.18,15.95,-5.70
6-September-2012,668.65,675.00,664.20,666.70,669.744901823980863151,50165,2176,33597753.00,12589,25.10,10.80,-1.95
5-September-2012,674.10,675.75,666.60,668.65,670.562023087458423009,40888,1914,27417940.00,11479,28.07,9.15,-5.45
4-September-2012,669.40,681.05,668.00,677.20,676.091300286366211849,65301,3272,44149438.00,18320,28.05,13.05,7.80
3-September-2012,682.00,684.90,665.00,669.40,675.330811476339365269,61727,2485,41686145.00,15156,24.55,19.90,-12.60
31-August-2012,685.00,686.00,668.80,677.80,677.789901383130176346,96231,4184,65224400.00,17681,18.37,17.20,-7.20
30-August-2012,666.75,682.90,659.00,678.65,668.301716995028539863,86896,3679,58072746.00,20872,24.02,23.90,11.90
29-August-2012,682.00,682.80,665.00,666.45,670.057760168948494174,110803,4349,74244410.00,36631,33.06,17.80,-15.55
28-August-2012,677.00,686.00,670.00,676.80,676.393684990011710408,116136,4722,78553657.00,25390,21.86,16.00,-0.20
27-August-2012,710.00,714.40,676.05,680.10,691.623133689282070757,134289,6079,92877379.00,60600,45.13,38.35,-29.90
24-August-2012,712.00,715.50,709.05,711.95,712.210291011258997969,48761,1937,34728086.00,13470,27.62,6.45,-0.05
23-August-2012,710.00,720.40,710.00,715.95,716.318055784782967486,60590,2399,43401711.00,13714,22.63,10.40,5.95
22-August-2012,720.00,723.70,708.60,709.85,713.884095454581964513,124499,5126,88877856.00,52212,41.94,15.10,-10.15
21-August-2012,728.00,732.00,718.00,719.65,722.443472245352874108,78059,2772,56393215.00,44570,57.10,14.00,-8.35
17-August-2012,739.90,740.00,725.00,727.35,730.317218684154454414,42239,1655,30847869.00,13185,31.22,15.00,-12.55
16-August-2012,735.10,740.30,728.00,731.35,736.149162309988439705,57957,2340,42664997.00,17376,29.98,12.30,-3.75
14-August-2012,721.00,734.50,718.00,732.10,729.260131653662537592,95098,4203,69351180.00,24574,25.84,16.50,11.10
13-August-2012,730.00,730.00,716.00,720.70,721.268896191764933307,62076,2686,44773488.00,16707,26.91,14.00,-9.30
10-August-2012,733.65,738.00,719.00,723.60,726.501521629543884542,53561,2534,38912148.00,15366,28.69,19.00,-10.05
9-August-2012,751.00,751.00,728.15,733.45,737.140276092730432501,60994,3671,44961134.00,12449,20.41,22.85,-17.55
8-August-2012,758.00,760.00,738.75,743.85,748.577766269635767305,75309,3279,56374643.00,14893,19.78,21.25,-14.15
7-August-2012,745.00,757.00,737.20,754.85,753.719549108703250611,286100,4025,215639163.00,229737,80.30,19.80,9.85
6-August-2012,750.00,759.00,739.85,742.80,748.131795264792481748,123965,5512,92742158.00,49004,39.53,19.15,-7.20
3-August-2012,727.10,743.00,715.50,740.60,730.612401343389276724,427873,7252,312609320.00,336605,78.67,27.50,13.50
2-August-2012,729.00,730.20,725.00,728.40,727.634218971349272890,34589,1393,25168140.00,8738,25.26,5.20,-0.60
1-August-2012,734.90,738.00,726.50,731.70,731.890186028853454821,73752,3078,53978365.00,18545,25.15,11.50,-3.20
31-July-2012,732.00,735.00,715.10,727.80,723.296534885904779791,106490,4451,77023848.00,18590,17.46,19.90,-4.20
30-July-2012,729.00,733.45,711.00,731.30,723.943167603678401077,145498,6260,105332283.00,22697,15.60,22.45,2.30
27-July-2012,766.00,778.00,709.90,715.85,737.808817848574929165,603163,23215,445018980.00,87101,14.44,68.10,-50.15
26-July-2012,795.10,797.05,751.15,756.20,767.938276162100878002,75854,3581,58251190.00,28535,37.62,45.90,-38.90
25-July-2012,808.85,808.85,785.45,791.85,793.698256612847818619,46576,2394,36967290.00,9923,21.30,23.40,-17.00
24-July-2012,800.00,814.00,800.00,806.95,808.452000480595938964,33292,1382,26914984.00,7085,21.28,14.00,6.95
